Seq,Chest,Height,Waist,Head,Foot,Weight
29545,88.100,173.800,76.700,58.700,26.900,58.200
29546,110.700,181.400,99.800,57.800,28.100,94.000
29547,91.400,178.400,81.500,58.500,28.500,75.600
29548,95.400,180.300,83.800,57.500,28.700,71.800
29549,100.200,176.500,91.000,62.800,27.700,75.400
29550,95.100,177.300,81.800,57.700,26.500,67.000
29551,96.200,178.800,81.900,57.600,27.400,71.900
29552,97.600,175.000,83.900,59.900,27.100,76.100
29553,100.500,173.000,92.900,60.800,27.000,74.300
29554,105.300,182.500,86.200,58.500,27.900,82.500
29555,101.900,174.200,84.600,57.800,27.600,78.400
29556,96.000,177.400,88.100,57.100,27.000,83.800
29557,88.300,171.500,73.200,59.000,26.200,55.600
29558,85.100,173.900,73.000,59.900,26.100,57.600
29559,94.400,174.800,85.500,62.900,27.400,76.400
29560,98.800,169.000,96.200,60.500,25.800,71.700
29561,97.100,174.400,89.300,61.300,25.900,72.000
29562,86.200,173.000,80.200,54.200,26.200,54.900
29563,105.000,175.000,99.800,59.200,26.400,91.600
29564,100.100,182.900,97.100,56.600,28.200,89.600
29565,79.000,168.000,71.300,56.600,26.300,51.900
